"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"241810090","2024 May 16 12:00:00 AM","2024 May 08 12:00:00 AM","0700","18","Southeast","1841","2","668","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","1822 0330 2021","0","X","X","203","OTHER BUSINESS",,,"IC","Invest Cont","668",,,,"11000 S  VERMONT                      AV",,"33.9358","-118.2916"
"241009105","2024 May 29 12:00:00 AM","2024 May 26 12:00:00 AM","1400","10","West Valley","1041","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","420",,,,"18700    HATTERAS                     ST",,"34.1771","-118.5407"
"240210392","2024 May 31 12:00:00 AM","2024 May 13 12:00:00 AM","0001","02","Rampart","0216","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"2100    MARATHON                     ST",,"34.0764","-118.2656"
"242009123","2024 May 22 12:00:00 AM","2024 May 21 12:00:00 AM","1222","20","Olympic","2093","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"HARVARD                      ST","WASHINGTON                   BL","34.04","-118.3043"
"240909222","2024 May 18 12:00:00 AM","2024 May 16 12:00:00 AM","1630","09","Van Nuys","0937","2","354","THEFT OF IDENTITY","1822 0929","34","F","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"14000    CALVERT                      ST",,"34.1821","-118.4378"
"240310572","2024 May 17 12:00:00 AM","2024 May 17 12:00:00 AM","0600","03","Southwest","0398","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"4200 S  FIGUEROA                     ST",,"34.0074","-118.285"
"240708785","2024 May 12 12:00:00 AM","2024 May 12 12:00:00 AM","1300","07","Wilshire","0701","1","310","BURGLARY","1309 1609 1822 0344","45","F","A","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","310",,,,"800 N  LA JOLLA                     AV",,"34.0854","-118.368"
"240210148","2024 May 24 12:00:00 AM","2024 May 01 12:00:00 AM","0800","02","Rampart","0205","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"900    PARKMAN                      AV",,"34.082","-118.2738"
"242008731","2024 May 05 12:00:00 AM","2024 May 04 12:00:00 AM","0810","20","Olympic","2011","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822 0394","30","M","C","119","PORCH, RESIDENTIAL",,,"IC","Invest Cont","440",,,,"100 S  GRAMERCY                     PL",,"34.073","-118.3125"
"241008981","2024 May 21 12:00:00 AM","2024 May 21 12:00:00 AM","1000","10","West Valley","1017","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1300 1822 0344","59","F","W","101","STREET",,,"IC","Invest Cont","331",,,,"17100    SHERMAN                      WY",,"34.2012","-118.513"
"240509237","2024 May 30 12:00:00 AM","2024 May 29 12:00:00 AM","1800","05","Harbor","0524","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"ANAHEIM                      ST","HAWAIIAN                     AV","33.7792","-118.2768"
"240209722","2024 May 11 12:00:00 AM","2024 May 10 12:00:00 AM","2200","02","Rampart","0251","1","330","BURGLARY FROM VEHICLE","1822 0329 1302 0344","41","M","W","104","DRIVEWAY",,,"IC","Invest Cont","330",,,,"400 S  CORONADO                     ST",,"34.0628","-118.2811"
"241510047","2024 May 04 12:00:00 AM","2024 May 04 12:00:00 AM","1705","15","N Hollywood","1517","1","236","INTIMATE PARTNER - AGGRAVATED ASSAULT","2000 0400 0416 0446 1814","31","M","W","254","STUDIO (FILM/PHOTOGRAPHIC/MUSIC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","236",,,,"11300    HARTLAND                     ST",,"34.1952","-118.378"
"240111634","2024 May 20 12:00:00 AM","2024 May 12 12:00:00 AM","1330","01","Central","0142","1","330","BURGLARY FROM VEHICLE","0344","0","X","X","108","PARKING LOT",,,"IC","Invest Cont","330",,,,"300 S  OLIVE                        ST",,"34.0519","-118.2506"
"241409874","2024 May 24 12:00:00 AM","2024 May 17 12:00:00 AM","2030","14","Pacific","1428","1","330","BURGLARY FROM VEHICLE","0344","0","F","W","101","STREET",,,"IC","Invest Cont","330",,,,"ROSE                         AV","VETERAN                      AV","34.0237","-118.4191"
