DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
242107460,03/28/2024 12:00:00 AM,03/28/2024 12:00:00 AM,0719,21,Topanga,2107,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,43,M,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,21000    COMMUNITY                    ST,,34.2221,-118.5907
242007452,03/19/2024 12:00:00 AM,03/19/2024 12:00:00 AM,1530,20,Olympic,2024,2,624,BATTERY - SIMPLE ASSAULT,0910 1822 2002 0444 2048 1266,23,M,H,922,MTA - PURPLE LINE - WILSHIRE/WESTERN,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3700    WILSHIRE                     BL,,34.0636,-118.3047
242006710,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,1225,20,Olympic,2062,1,761,BRANDISH WEAPON,1822 2004 0369 0906 0371 0378 0334 0302 0421 0416,46,M,H,501,SINGLE FAMILY DWELLING,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,761,930,998,,1200 S  WILTON                       PL,,34.0494,-118.3145
240307577,03/10/2024 12:00:00 AM,03/10/2024 12:00:00 AM,2210,03,Southwest,0357,1,251,SHOTS FIRED AT INHABITED DWELLING,0334 0302 0329 1822,11,X,X,501,SINGLE FAMILY DWELLING,107,OTHER FIREARM,IC,Invest Cont,251,,,,1300 W  37TH                         PL,,34.02,-118.2977
241508416,03/31/2024 12:00:00 AM,03/30/2024 12:00:00 AM,2040,15,N Hollywood,1535,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913,48,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,11400    MIRANDA                      ST,,34.1749,-118.379
240307260,03/03/2024 12:00:00 AM,03/03/2024 12:00:00 AM,2230,03,Southwest,0398,1,210,ROBBERY,1822 0302 0334 0416 0449 0344 0906 1816 0418 1419,18,M,H,101,STREET,106,UNKNOWN FIREARM,AA,Adult Arrest,210,998,,,500 W  41ST                         DR,,34.0087,-118.2827
241207964,03/08/2024 12:00:00 AM,03/08/2024 12:00:00 AM,0800,12,77th Street,1233,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0400 0329 0913,30,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,745,,,,1700 W  59TH                         ST,,33.9875,-118.3068
240208160,03/26/2024 12:00:00 AM,03/25/2024 12:00:00 AM,2100,02,Rampart,0237,1,330,BURGLARY FROM VEHICLE,1307 1302 0344 0329,36,F,W,101,STREET,,,IC,Invest Cont,330,,,,BEVERLY,WITMER,34.0622,-118.2607
241306955,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0315,13,Newton,1331,1,310,BURGLARY,1602 1309 0344,0,M,W,213,WAREHOUSE,,,IC,Invest Cont,310,,,,2800 S  HILL                         ST,,34.0241,-118.272
241207788,03/05/2024 12:00:00 AM,03/03/2024 12:00:00 AM,1400,12,77th Street,1231,1,487,BOAT - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,487,,,,58TH                         ST,KENISTON                     ST,33.9881,-118.342
241507031,03/03/2024 12:00:00 AM,03/01/2024 12:00:00 AM,2120,15,N Hollywood,1525,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1420 1822 0329 0447,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,6100    RADFORD                      AV,,34.1812,-118.3921
240607231,03/11/2024 12:00:00 AM,03/11/2024 12:00:00 AM,0117,06,Hollywood,0638,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1501,38,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,440,,,,1700 N  WILTON                       PL,,34.1017,-118.3136
241407780,03/22/2024 12:00:00 AM,03/22/2024 12:00:00 AM,0012,14,Pacific,1467,1,320,"BURGLARY, ATTEMPTED",,60,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,7500    FLIGHT                       AV,,33.9708,-118.3808
241605965,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0100,16,Foothill,1689,2,940,EXTORTION,0329 1803,0,X,X,202,LIQUOR STORE,311,HAMMER,IC,Invest Cont,940,,,,8200    SAN FERNANDO                 RD,,34.2194,-118.3688
240706552,03/01/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1345,07,Wilshire,0763,2,624,BATTERY - SIMPLE ASSAULT,0342 0416 0446 0913,36,F,A,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1400 S  GENESEE                      AV,,34.0509,-118.3635
241007232,03/31/2024 12:00:00 AM,03/30/2024 12:00:00 AM,2300,10,West Valley,1075,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,17800    VALLEY VISTA                 BL,,34.1629,-118.5263
240906805,03/14/2024 12:00:00 AM,03/14/2024 12:00:00 AM,0830,09,Van Nuys,0911,2,624,BATTERY - SIMPLE ASSAULT,0216 0400 1259 1251,14,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,SEPULVEDA                    BL,VANOWEN                      ST,34.1939,-118.4662
240108665,03/06/2024 12:00:00 AM,03/06/2024 12:00:00 AM,2030,01,Central,0159,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0603 0913 1218 2004 0400 0416,64,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212,BOTTLE,IC,Invest Cont,230,,,,1200 E  6TH                          ST,,34.0382,-118.2384
240109659,03/28/2024 12:00:00 AM,03/27/2024 12:00:00 AM,2030,01,Central,0159,1,330,BURGLARY FROM VEHICLE,1300 0344 0329 1307 0321,63,M,O,213,WAREHOUSE,,,IC,Invest Cont,330,,,,CONWAY                       PL,MATEO                        ST,34.0366,-118.2325
