"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"240907859","2024 Apr 11 12:00:00 AM","2024 Apr 10 12:00:00 AM","2000","09","Van Nuys","0933","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1300","31","M","W","123","PARKING UNDERGROUND/BUILDING",,,"IC","Invest Cont","740",,,,"14800    DELANO                       ST",,"34.1827","-118.4553"
"241708288","2024 Apr 13 12:00:00 AM","2024 Apr 12 12:00:00 AM","1900","17","Devonshire","1717","1","330","BURGLARY FROM VEHICLE","1609 0321","56","F","H","504","OTHER RESIDENCE",,,"IC","Invest Cont","330",,,,"16400    INDEX                        ST",,"34.2755","-118.4891"
"241809276","2024 Apr 24 12:00:00 AM","2024 Apr 24 12:00:00 AM","0645","18","Southeast","1841","2","901","VIOLATION OF RESTRAINING ORDER","1202 0913 2038","70","M","B","501","SINGLE FAMILY DWELLING","515","PHYSICAL PRESENCE","IC","Invest Cont","901",,,,"600 W  113TH                        ST",,"33.932","-118.2848"
"240908162","2024 Apr 17 12:00:00 AM","2024 Apr 17 12:00:00 AM","1615","09","Van Nuys","0963","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0443 1822","48","M","W","752","FIRE STATION","511","VERBAL THREAT","AA","Adult Arrest","930",,,,"5100 N  SEPULVEDA                    BL",,"34.163","-118.4661"
"241209966","2024 Apr 12 12:00:00 AM","2024 Apr 11 12:00:00 AM","1630","12","77th Street","1253","1","330","BURGLARY FROM VEHICLE","1300 1601 0344 1822","33","M","H","101","STREET",,,"IC","Invest Cont","330",,,,"7400    LA SALLE                     AV",,"33.9728","-118.3057"
"242108354","2024 Apr 24 12:00:00 AM","2024 Apr 23 12:00:00 AM","1600","21","Topanga","2143","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","510",,,,"6400    FALLBROOK                    AV",,"34.1883","-118.6274"
"242108334","2024 Apr 22 12:00:00 AM","2024 Apr 22 12:00:00 AM","1145","21","Topanga","2187","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344","39","F","W","402","MARKET",,,"IC","Invest Cont","440",,,,"21000    VENTURA                      BL",,"34.1667","-118.5908"
"240608302","2024 Apr 07 12:00:00 AM","2024 Apr 06 12:00:00 AM","2145","06","Hollywood","0647","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1501","20","F","W","710","OTHER PREMISE",,,"IC","Invest Cont","440",,,,"6200 W  SUNSET                       BL",,"34.0998","-118.3211"
"240110285","2024 Apr 14 12:00:00 AM","2024 Apr 14 12:00:00 AM","1215","01","Central","0119","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"400    BAUCHET                      ST",,"34.0584","-118.2331"
"242008375","2024 Apr 17 12:00:00 AM","2024 Apr 17 12:00:00 AM","2320","20","Olympic","2029","2","888","TRESPASSING","1822 0910 2052","0","X","X","905","MTA - RED LINE - WILSHIRE/VERMONT",,,"IC","Invest Cont","888",,,,"3100    WILSHIRE                     BL",,"34.0652","-118.2878"
"240807739","2024 Apr 12 12:00:00 AM","2024 Apr 12 12:00:00 AM","1500","08","West LA","0883","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510","998",,,"2000 S  SEPULVEDA                    BL",,"34.04","-118.4393"
